Delegating Wallet Key from Mina,Wallet BP should send rewards to
B62qo6bK6jBAa6QR4EYYtH6MWeGRfWUWEWXPjbYsci15ecXTafkSw6G,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qqrMW5HUkhKDPuNLToVyxcc49VEPRMaRFzSbWZysAsyPw8nFAu4T,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qkTViAbMfWGRFJyvtWT5dBrfBUReHTHsA8PWT1dBLB4ctPHRf7nw,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qqsvgiixjji3CX7whzuBKVupvwgBS4Dao6wDwkmWPi79TNcwZ1tB,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qmtxhr1gQ5PUvKnNRVfhuuVs2Wjn4xPBoXMWujaYi5D77gShXH6Y,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qm4TntJySX6ktHD1SsYumBdvSTp8pLdjMwTVjBrmA3ipkWejBdbe,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qo1mUFu2xFntFTqPhiff3TEVyhu9ukTKvp81vqzvBUDs76DYTGuo,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qnfJ6Yqn8FKmFK5YfiskzD1axjxSJwP2jRtNrDUiH9tN59xz2KgH,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qjVi5acmgHpTe2h7Kqw69xRXtc8KvJANmAnx2tEVUz7pSpfrLFXr,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qq5MpA1CzLTwC45zADGS7rRGZoQ3kmnf1nrYQzcnETfoJvU5vamo,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qpJtPWEqXnDcXLugqf3C1m4ftWf2DaXLK8J35Ka7HoZSCxKBDWbP,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qjbRyvwkiMNwAvamp9wfFoUyhwGsQZ2Np2j1i68HdbYLqviS7hfw,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qjAbb8hxvgGfpJLULvEA3A5yPXmZu8h7VkEMX8wAwpGWEcAEQLvz,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qjeQmtThR9HKw3z5oq58RHfCtdvyJb9chiA2R4NReipEu4nrbPHw,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
